battery;526
notification;336
software-center;1555
upgrade;3024
live-cd;548
server;4238
ssh;1435
vnc;322
community;132
xfce;618
remote-desktop;342
updates;2157
flash;878
64-bit;1448
update-manager;829
xrandr;194
displaylink;48
mouse;1208
filesystem;1039
installation;12434
10.04;2124
panel;399
applet;150
lts;270
lamp;287
mysql;719
php;717
performance;669
encryption;742
email;452
mta;13
cleanup;55
kate;42
touchpad;865
gnome;3890
libnotify;30
session;165
wallpaper;339
artwork;6
photography;15
ldap;133
nfs;218
gui;633
indicator;807
clock;99
empathy;378
startup;788
8.04;62
vim;266
colors;210
sync;609
configuration;791
user-data;13
multiple-workstations;13
kde;842
package-management;1321
aptitude;202
synaptic;278
gmail;132
compatibility;226
permissions;1706
mac;647
live-usb;1017
multimedia;198
sound;3042
equalizer;14
rvm;58
ruby;248
uninstall;1056
haskell;32
headphones;232
speakers;153
launchpad;274
iptables;304
security;838
ipv6;104
support;43
themes;990
icons;877
pointers;18
appearance;136
format;273
testing;58
tablet;227
multi-touch;237
hardware;923
editor;73
gedit;377
text;122
mail;175
imap;45
xubuntu;1627
cloud;247
uec;14
presentation;38
python;1335
packaging;333
mono;166
command-line;5094
dvd;478
itunes;57
gdm;259
login-screen;512
video;1306
video-player;127
reboot;314
dock;83
init.d;107
license;60
gpl;8
apt;3501
firefox;1566
extension;94
time;147
adblock;7
display;964
dpi;29
partitioning;3360
boot;6311
messages;50
grub2;4067
iphone;162
music;448
upnp;36
mythtv;99
ssd;569
trim;49
default;207
versions;206
patch;83
resume;84
suspend-resume;62
dual-boot;4939
windows;2370
customization;403
nvidia;3475
dpkg;763
xorg;1725
bash;1857
crontab;42
cron-jobs;24
gzip;43
media-manager;14
f-spot;9
shotwell;131
10.1;2054
ppa;813
voip;52
landscape;36
motu;13
youtube;281
dictionary;63
keyrings;104
migration;101
root;594
user-space;11
alternative;81
workflow;6
metacity;88
window-buttons;88
special-characters;60
packages;1428
flicker;57
gems;6
remote-assistance;7
keyboard;1683
keyboard-layout;664
umount;43
sudo;837
ubufox;2
books;9
administration;116
ie;20
wine;1581
browser;298
virtualbox;1662
naming;6
thunderbird;586
dependencies;665
archive;110
evolution;324
shutdown;845
acpi;194
ftp;317
nautilus;1789
backup;869
usb-drive;664
lvm;287
hidden-features;9
google-calendar;32
calendar;107
organizer;9
codecs;132
latex;172
text-editor;143
rootkit;14
fstab;407
scripts;1103
input-devices;121
programming;334
troubleshooting;155
firmware;81
repository;496
system;365
winetricks;84
fonts;750
aliased;3
firewall;321
debootstrap;26
gimp;212
ebooks;44
development;284
window-manager;420
windows-7;1764
vmware;647
blogs;11
guest-session;76
wubi;1391
banshee;409
unlock;29
input-language;72
shortcut-keys;1516
brainstorm;11
9.1;108
sharing;124
plotting;15
usb;2785
parental-controls;20
magic-mouse;18
ubuntu-one;1552
delete;258
mount;1949
resolution;980
samba;893
lubuntu;1412
mythbuntu;128
single-sign-on;21
contributing;22
windicators;3
canonical;102
drag-and-drop;59
emacs;162
cpu-load;150
multiple-monitors;1343
usability;68
cron;424
postfix;223
warning;35
irc;59
menu;425
shared-library;114
build;39
network-manager;985
settings;386
debug;52
fan;275
suspend;820
hibernate;391
bios;328
adobe;156
knr;2
cd;237
authentication;293
konsole;31
transparent-proxy;7
unity;6215
globalmenu;71
macosx;305
storage;84
offline;94
idevices;3
ayatana;23
hundredpapercuts;2
compiling;768
compiz;1512
btrfs;105
ubiquity;130
kms;8
plymouth;273
upstart;388
init;125
android;884
debian;214
sid;3
gnome-terminal;660
gwibber;121
gtk;525
csd;2
wireless;5857
gps;22
vpn;546
re-installation;101
differences;17
ram-usage;10
swap;401
eclipse;556
multiseat;25
citrix;35
rdp;89
promotion;3
pulseaudio;804
gnu-r;2
burning;141
sony;193
vaio;267
microphone;320
pdf;446
emulation;77
downloads;511
gamepad;67
zsh;57
kernel;2261
photoshop;47
vps;92
